Date,Code,Name,Market,TimeSession,EntryPrice,ExitPrice,Slippage(%),PnL(%),MinPnL(%),MaxPnL(%),VolBurstRatio,EntryATR,EntryVWAPGap(%),MacroTrend,MacroGap(%),HoldTime(s),ExitReason
2026-04-13 09:00:09,475150,SK이터닉스,KOSPI,Close(14:00~),59200,62000,2.14,4.73,-0.34,4.73,2.8,128.57,0.95,정배열,0.0,235040,50%분할익절
2026-04-13 09:00:15,010820,퍼스텍,KOSPI,Close(14:00~),11320,11800,1.46,4.24,-0.53,4.24,2.66,61.43,0.82,정배열,0.0,236518,50%분할익절
2026-04-13 09:00:26,001440,대한전선,KOSPI,Mid(09:30~14:00),32250,31000,-1.43,-3.88,-3.88,0.0,3.64,146.43,1.9,정배열,0.0,251279,손절(SL)
2026-04-13 09:00:30,028050,삼성E&A,KOSPI,Mid(09:30~14:00),52100,49800,-1.78,-4.41,-4.41,-0.38,4.64,228.57,1.24,정배열,0.0,250216,손절(SL)
2026-04-13 09:01:17,011200,HMM,KOSPI,Mid(09:30~14:00),21950,21350,0.0,-2.73,-2.73,-0.23,4.35,105.36,2.31,정배열,0.0,248085,손절(SL)
2026-04-13 09:01:31,475150,SK이터닉스,KOSPI,Close(14:00~),59200,60900,0.0,2.87,-0.34,5.07,2.8,128.57,0.95,정배열,0.0,235123,트레일링스탑(익절)
2026-04-13 09:02:02,010820,퍼스텍,KOSPI,Close(14:00~),11320,11630,-0.17,2.74,-0.53,5.04,2.66,61.43,0.82,정배열,0.0,236626,트레일링스탑(익절)
2026-04-13 09:02:05,079550,LIG넥스원,KOSPI,Mid(09:30~14:00),940000,958000,0.0,1.91,-2.02,4.04,4.02,3500.0,1.41,정배열,0.0,245954,트레일링스탑(익절)
2026-04-13 09:02:57,024060,흥구석유,KOSDAQ,Close(14:00~),19420,20800,4.1,7.11,-0.62,7.11,2.05,35.71,0.53,정배열,0.0,238457,50%분할익절
2026-04-13 09:03:36,024060,흥구석유,KOSDAQ,Close(14:00~),19420,20550,0.0,5.82,-0.62,8.14,2.05,35.71,0.53,정배열,0.0,238496,트레일링스탑(익절)
2026-04-13 09:03:49,006400,삼성SDI,KOSPI,Mid(09:30~14:00),488000,488000,0.0,0.0,-2.15,1.02,6.11,1750.0,0.93,정배열,0.0,252550,본절방어
2026-04-13 09:06:36,064260,다날,KOSDAQ,Open(09:00~09:30),8030,7950,0.0,-1.0,-1.0,0.62,3.76,87.86,1.37,정배열,0.0,214,손절(SL)
2026-04-13 09:07:06,017900,광전자,KOSPI,Open(09:00~09:30),13050,12920,0.0,-1.0,-1.0,0.0,4.1,395.0,2.02,정배열,0.0,22,손절(SL)
